MiePlot v4.6.07

Date & Time: 03.12.2017 00:01:56 

Calculation Method:         Mie (plane wave)

Radius: 	 10 	 um	Size parameter x: 	 96.664389 

Sphere: 	 Water	Medium: 	a vacuum 	RI Real part: 	1

Sun

Wavelength: 	0.65	 um

Graph type: 	Intensity v. scattering angle

Angle	Perpendicular	Parallel	Unpolarised
theta	[S1(theta)]^2	[S2(theta)]^2	[[S1(theta)]^2 + [S2(theta)]^2]/2
 0 	 21494159.4646495 	 21495479.4795746 	 21494819.4721121 
 0.1 	 21332269.9128464 	 21334353.1887204 	 21333311.5507834 
 0.2 	 20852632.8234405 	 20856947.3726783 	 20854790.0980594 
 0.3 	 20073031.8616167 	 20080874.7154041 	 20076953.2885104 
 0.4 	 19022088.8517148 	 19034486.8513882 	 19028287.8515515 
 0.5 	 17737803.0817093 	 17755434.547179 	 17746618.8144442 
 0.6 	 16265633.1255128 	 16288776.2868749 	 16277204.7061939 
 0.7 	 14656237.4478754 	 14684749.3254004 	 14670493.3866379 
 0.8 	 12963009.1164839 	 12996336.0533547 	 12979672.5849193 
 0.9 	 11239549.8606687 	 11276768.3682463 	 11258159.1144575 
 1 	 9537228.94560962 	 9577113.13159879 	 9557171.03860421 
 1.1 	 7902963.03960396 	 7944072.85713912 	 7923517.94837154 
 1.2 	 6377335.28661955 	 6418118.33366772 	 6397726.81014363 
 1.3 	 4993146.61091453 	 5032045.34143443 	 5012595.97617448 
 1.4 	 3774461.8153728 	 3810017.85391385 	 3792239.83464332 
 1.5 	 2736179.56125832 	 2767127.33536763 	 2751653.44831298 
 1.6 	 1884121.25758436 	 1909464.31052728 	 1896792.78405582 
 1.7 	 1215601.63280726 	 1234666.63226649 	 1225134.13253687 
 1.8 	 720415.487617418 	 732880.942917291 	 726648.215267355 
 1.9 	 382152.643290819 	 388051.498196625 	 385102.070743722 
 2 	 179737.720275138 	 179435.107559493 	 179586.413917316 
 2.1 	 89083.8464849618 	 83233.1923655167 	 86158.5194252393 
 2.2 	 84749.835449626 	 74232.0322632068 	 79490.9338564164 
 2.3 	 141498.328332356 	 127349.738598122 	 134424.033465239 
 2.4 	 235666.865137269 	 219002.415051213 	 227334.640094241 
 2.5 	 346283.410544553 	 328220.96466107 	 337252.187602811 
 2.6 	 455880.777624092 	 437472.399403967 	 446676.588514029 
 2.7 	 550988.782972031 	 533163.463699119 	 542076.123335575 
 2.8 	 622306.944298274 	 605828.046156993 	 614067.495227634 
 2.9 	 664582.357445034 	 650021.507462858 	 657301.932453946 
 3 	 676235.599826869 	 663963.238939985 	 670099.419383427 
 3.1 	 658791.010453457 	 648982.387399035 	 653886.698926246 
 3.2 	 616175.839509355 	 608830.062965979 	 612502.951237667 
 3.3 	 553955.351768179 	 548924.265340741 	 551439.80855446 
 3.4 	 478568.265116245 	 475591.439712877 	 477079.852414561 
 3.5 	 396619.563886944 	 395361.621699037 	 395990.59279299 
 3.6 	 314276.72124592 	 314363.487130786 	 314320.104188353 
 3.7 	 236801.888104092 	 237852.446622095 	 237327.167363094 
 3.8 	 168237.955643263 	 169890.489452929 	 169064.222548096 
 3.9 	 111251.862903501 	 113182.060455595 	 112216.961679548 
 4 	 67125.2729621037 	 69057.0171389868 	 68091.1450505453 
 4.1 	 35871.7492185338 	 37580.6381400381 	 36726.193679286 
 4.2 	 16451.5246807824 	 17762.4527631315 	 17106.988721957 
 4.3 	 7050.26044193971 	 7830.74728385963 	 7440.50386289967 
 4.4 	 5386.90520051285 	 5538.07512873999 	 5462.49016462642 
 4.5 	 9017.66715813091 	 8464.75494564889 	 8741.2110518899 
 4.6 	 15607.7090051846 	 14291.7251363261 	 14949.7170707554 
 4.7 	 23148.7995080626 	 21020.5802283535 	 22084.689868208 
 4.8 	 30109.0075455305 	 27126.3637281449 	 28617.6856368377 
 4.9 	 35508.7749302342 	 31636.9085378909 	 33572.8417340626 
 5 	 38925.5614265223 	 34140.4060533924 	 36532.9837399574 
 5.1 	 40436.0351620178 	 34729.7554760772 	 37582.8953190475 
 5.2 	 40509.9609505915 	 33897.5573949388 	 37203.7591727652 
 5.3 	 39873.1897874636 	 32399.0234411527 	 36136.1066143081 
 5.4 	 39358.3558091123 	 31101.4375834485 	 35229.8966962804 
 5.5 	 39761.1258090926 	 30838.1888822482 	 35299.6573456704 
 5.6 	 41717.3824476104 	 32283.0458774887 	 37000.2141625496 
 5.7 	 45612.9558119361 	 35856.6483635899 	 40734.802087763 
 5.8 	 51532.9387348427 	 41672.6374567716 	 46602.7880958072 
 5.9 	 59252.7547174395 	 49525.955575538 	 54389.3551464887 
 6 	 68268.5015223786 	 58921.1383328681 	 63594.8199276233 
 6.1 	 77860.1118843378 	 69134.3441694025 	 73497.2280268701 
 6.2 	 87177.8964545517 	 79299.7792633385 	 83238.8378589451 
 6.3 	 95341.277056397 	 88509.3032542969 	 91925.2901553469 
 6.4 	 101538.056717444 	 95913.4355087213 	 98725.7461130825 
 6.5 	 105113.348445002 	 100812.675215336 	 102963.011830169 
 6.6 	 105639.120771701 	 102729.832983388 	 104184.476877544 
 6.7 	 102957.946443589 	 101456.682334206 	 102207.314388898 
 6.8 	 97197.6347877178 	 97071.3494320894 	 97134.4921099036 
 6.9 	 88756.6403597565 	 89926.1159987012 	 89341.3781792289 
 7 	 78263.1372087057 	 80608.3724810345 	 79435.7548448701 
 7.1 	 66513.143008215 	 69880.029779445 	 68196.58639383 
 7.2 	 54394.8556896272 	 58602.5529002601 	 56498.7042949437 
 7.3 	 42807.3002687269 	 47655.7820976968 	 45231.5411832118 
 7.4 	 32581.442571878 	 37858.8157416142 	 35220.1291567461 
 7.5 	 24411.1672573676 	 29900.4968851419 	 27155.8320712547 
 7.6 	 18800.075609687 	 24285.6062373685 	 21542.8409235277 
 7.7 	 16028.1284035021 	 21300.9139263858 	 18664.521164944 
 7.8 	 16139.9697963795 	 21003.0148044602 	 18571.4923004198 
 7.9 	 18954.5579209729 	 23227.6122110742 	 21091.0850660236 
 8 	 24093.7191719742 	 27617.8538036198 	 25855.786487797 
 8.1 	 31025.621652836 	 33667.654118867 	 32346.6378858515 
 8.2 	 39118.0612614234 	 40774.8016515363 	 39946.4314564798 
 8.3 	 47695.9411747539 	 48298.1185248784 	 47997.0298498162 
 8.4 	 56097.4066182405 	 55613.0256193253 	 55855.2161187829 
 8.5 	 63723.715579555 	 62160.5089497464 	 62942.1122646507 
 8.6 	 70078.9758793745 	 67485.5744234214 	 68782.275151398 
 8.7 	 74797.2173454292 	 71262.6699920685 	 73029.9436687488 
 8.8 	 77655.7340204953 	 73307.0787173617 	 75481.4063689285 
 8.9 	 78575.0643453608 	 73572.7744352822 	 76073.9193903215 
 9 	 77607.2325647816 	 72138.5313280227 	 74872.8819464022 
 9.1 	 74914.8380415695 	 69185.0692030017 	 72049.9536222856 
 9.2 	 70744.1766289337 	 64966.6191749027 	 67855.3979019182 
 9.3 	 65395.7805042772 	 59780.4787635284 	 62588.1296339028 
 9.4 	 59195.5852508302 	 53937.9075920524 	 56566.7464214413 
 9.5 	 52469.4304175883 	 47739.1536318839 	 50104.2920247361 
 9.6 	 45522.8579456893 	 41454.5870063864 	 43488.7224760379 
